,HS부호,한글품목명,영문품목명,중량단위코드
11071,8607193000,윤축(輪軸),Pair of axle and wheel,KG
11072,8607199000,기타,Other,KG
11073,8607210000,공기식 제동장치와 그 부분품,Air brakes and parts thereof,KG
11074,8607290000,기타,Other,KG
11075,8607301000,훅,Hooks,KG
11076,8607302000,연결장치,Coupling device,KG
11077,8607303000,완충장치,Buffers,KG
11078,8607309000,기타,Other,KG
11079,8607910000,기관차용,Of locomotives,KG
11080,8607990000,기타,Other,KG
11081,8608001000,철도ㆍ궤도선로용 장치물,Railway or tramway track fixtures and fittings,KG
11082,8608002000,기계식의 신호ㆍ안전ㆍ교통 관제용 기기,"Mechanical signalling, safety or traffic control equipment",KG
11083,8608009000,부분품,Parts,KG
11084,8609001000,액체 운반용,For the transport of fluids,KG
11085,8609002000,압축가스 운반용,For the transport of compressed gas,KG
11086,8609003000,일반화물 운반용,For the transport of ordinary goods and material,KG
11087,8609004000,살아있는 동물 운반용,For the transport of live animals,KG
11088,8609005000,냉동용과 냉장용,Of freezer and refrigerator,KG
11089,8609009000,기타,Other,KG
11090,8701100000,차축이 하나인 트랙터,Single axle tractors,KG
11091,8701211000,신차,New,KG
11092,8701212000,중고차,Used,KG
11093,8701221000,신차,New,KG
11094,8701222000,중고차,Used,KG
11095,8701231000,신차,New,KG
11096,8701232000,중고차,Used,KG
11097,8701241000,신차,New,KG
11098,8701242000,중고차,Used,KG
11099,8701291000,신차,New,KG
11100,8701292000,중고차,Used,KG
11101,8701300000,무한궤도식 트랙터,Track-laying tractors,KG
11102,87019110,트레일러 견인용의 도로주행식 트랙터,Road tractors for trailers,
11103,8701911010,신차,New,KG
11104,8701911020,중고차,Used,KG
11105,8701912000,농업용 트랙터,Agricultural tractors,KG
11106,8701919000,기타,Other,KG
11107,87019210,트레일러 견인용의 도로주행식 트랙터,Road tractors for trailers,
11108,8701921010,신차,New,KG
11109,8701921020,중고차,Used,KG
11110,8701922000,농업용 트랙터,Agricultural tractors,KG
11111,8701929000,기타,Other,KG
11112,87019310,트레일러 견인용의 도로주행식 트랙터,Road tractors for trailers,
11113,8701931010,신차,New,KG
11114,8701931020,중고차,Used,KG
11115,8701932000,농업용 트랙터,Agricultural tractors,KG
